,Netflix_Movie_ID,Movie Name,Vadar Score
0,3463,10 Things I Hate About You 1999,0.818
1,9528,12 Angry Men 1957,0.501
2,14482,12 Monkeys 1995,0.552
3,16535,1941 1979,0.402
4,11165,2001_ A Space Odyssey 1968,0.595
5,1962,50 First Dates 2004,0.84
6,5035,54 1998,0.574
7,12471,8 Mile 2002,0.637
8,1180,A Beautiful Mind 2001,0.783
9,14254,A Bridge Too Far 1977,0.173
10,10451,A Clockwork Orange 1971,0.126
11,7875,A Night at the Roxbury 1998,0.655
12,4402,A Nightmare on Elm Street 1984,0.019
13,6235,A Walk to Remember 2002,0.819
14,10662,Akira 1988,0.55
15,10894,Ali 2001,0.598
16,16469,Alien vs. Predator 2004,0.3
17,3224,All Quiet on the Western Front 1930,-0.159
18,15758,Amadeus 1984,0.762
19,571,American Beauty 1999,0.682
20,11152,American History X 1998,0.095
21,11337,American Pie 1999,0.697
22,4109,American Psycho 2000,0.224
23,15385,Amistad 1997,0.483
24,7635,Anchorman_ The Legend of Ron Burgundy 2004,0.703
25,8159,Annie Hall 1977,0.818
26,9788,Antz 1998,0.712
27,14507,Any Given Sunday 1999,0.6
28,6099,Apocalypse Now 1979,0.056
29,7745,Apollo 13 1995,0.735
30,6972,Armageddon 1998,0.408
31,9728,As Good as It Gets 1997,0.771
32,10820,Back to the Future 1985,0.843
33,4956,Back to the Future Part II 1989,0.783
34,851,Back to the Future Part III 1990,0.716
35,14335,Barry Lyndon 1975,0.752
36,2173,BASEketball 1998,0.77
37,3864,Batman Begins 2005,0.662
38,9265,Batman Returns 1992,0.501
39,4249,Battleship Potemkin 1925,0.426
40,14780,Beetlejuice 1988,0.638
41,7517,Before Sunrise 1995,0.873
42,10986,Before Sunset 2004,0.798
43,2122,Being John Malkovich 1999,0.666
44,12161,Big Fish 2003,0.803
45,13412,Billy Elliot 2000,0.76
46,6720,Black Hawk Down 2001,-0.043
47,7511,Blade 1998,0.589
48,14869,Blade Runner 1982,0.618
49,17549,Bloody Sunday 2002,-0.081
50,16792,Blow 2001,0.53
51,15843,Blue Crush 2002,0.735
52,15540,Born on the Fourth of July 1989,0.184
53,2782,Braveheart 1995,0.582
54,12497,Bring It On 2000,0.781
55,3860,Bruce Almighty 2003,0.779
56,13534,Bull Durham 1988,0.81
57,14280,Butch Cassidy and the Sundance Kid 1969,0.791
58,9051,Caddyshack 1980,0.734
59,12890,Carrie 1976,0.132
60,13923,Cast Away 2000,0.589
61,10970,Castle in the Sky 1986,0.802
62,1844,Casualties of War 1989,-0.349
63,8644,Catch Me If You Can 2002,0.801
64,4736,Chariots of Fire 1981,0.883
65,16912,Chicken Run 2000,0.838
66,13082,Chinatown 1974,0.619
67,8832,Citizen Kane 1941,0.741
68,6450,City of God 2002,0.334
69,16640,Closer 2004,0.552
70,1073,Coach Carter 2005,0.858
71,4355,Coffee and Cigarettes 2003,0.639
72,10550,Cold Mountain 2003,0.469
73,6134,Collateral 2004,0.529
74,3568,Come and See 1985,-0.476
75,16242,Con Air 1997,0.404
76,5154,Constantine 2005,0.465
77,11701,Contact 1997,0.689
78,13102,Coyote Ugly 2000,0.582
79,4244,Cross of Iron 1977,-0.079
80,8837,Cube 1997,0.215
81,2780,Dark City 1998,0.654
82,4384,Dawn of the Dead 2004,0.273
83,16901,Days of Thunder 1990,0.673
84,14928,Dead Poets Society 1989,0.665
85,7493,Detroit Rock City 1999,0.835
86,9960,Die Hard 1988,0.408
87,7617,Dirty Dancing 1987,0.761
88,3153,Doctor Zhivago 1965,0.749
89,13007,Dog Day Afternoon 1975,0.675
90,6221,Donnie Brasco 1997,0.697
91,16969,Donnie Darko 2001,0.552
92,14671,Downfall 2004,0.082
93,15158,Driven 2001,0.379
94,9690,Duck Soup 1933,0.652
95,311,Ed Wood 1994,0.857
96,6329,Edward Scissorhands 1990,0.783
97,2874,Elf 2003,0.762
98,3730,Elizabeth 1998,0.675
99,7643,Empire of the Sun 1987,0.489
100,8379,Enemy at the Gates 2001,0.211
101,4656,Erin Brockovich 2000,0.746
102,1865,Eternal Sunshine of the Spotless Mind 2004,0.762
103,12940,Event Horizon 1997,0.006
104,8016,Eyes Wide Shut 1999,0.451
105,5926,Fight Club 1999,0.408
106,10429,Final Destination 2 2003,0.141
107,11663,Final Destination 2000,-0.04
